incidentID,reportedAt,occuredAt,disposition,crimeTypeID
II1300081,2013-21-1 1:23:00,2013-21-1 1:23:00,ARREST,331
II1300084,2013-21-1 9:31:00,2013-21-1 9:15:00,ADMIN. CLOSE,400
II1300088,2013-22-1 1:45:00,2013-16-1 9:00:00,ADMIN. CLOSE,369
II1300087,2013-22-1 9:51:00,2013-21-1 9:00:00,ADMIN. CLOSE,414
II1300089,2013-22-1 4:42:00,2013-12-1 9:59:00,ADMIN. CLOSE,339
II1300091,2013-22-1 5:48:00,2013-19-1 4:00:00,ADMIN. CLOSE,324
II1300092,2013-22-1 6:52:00,2013-22-1 6:52:00,ARREST,442
II1300093,2013-22-1 11:57:00,2013-22-1 11:57:00,ADMIN. CLOSE,400
CC1300271,2013-22-1 12:00:00,2013-11-1 12:30:00,REPORTED TO OTHER,326
CC1300554,2013-22-1 12:00:00,2013-5-1 8:00:00,REPORTED TO OTHER,453
165-2013,2013-22-1 12:32:00,2013-16-1 9:33:00,STUDENT DISCIPLINE,313
179-2013,2013-22-1 1:15:00,2013-18-1 12:15:00,STUDENT DISCIPLINE,367
195-2013,2013-22-1 1:28:00,2013-18-1 11:26:00,STUDENT DISCIPLINE,367
203-2013,2013-22-1 1:55:00,2013-19-1 1:40:00,STUDENT DISCIPLINE,367
208-2013,2013-22-1 12:13:00,2013-18-1 10:28:00,STUDENT DISCIPLINE,367
209-2013,2013-22-1 12:11:00,2013-21-1 2:15:00,STUDENT DISCIPLINE,367
II1300094,2013-23-1 1:08:00,2013-23-1 1:08:00,ARREST,357
II1300096,2013-23-1 8:16:00,2013-23-1 8:16:00,ADMIN. CLOSE,432
II1300100,2013-23-1 4:52:00,2013-23-1 8:00:00,ADMIN. CLOSE,369
UU1300302,2013-23-1 12:00:00,2013-19-1 1:00:00,REPORTED TO OTHER,471
CC1300461,2013-23-1 12:00:00,2013-17-1 2:00:00,REPORTED TO OTHER,326
CC1300589,2013-23-1 12:00:00,2013-20-1 9:00:00,REPORTED TO OTHER,396
CC1300492,2013-23-1 12:00:00,2013-18-1 4:16:00,REPORTED TO OTHER,326
II1300112,2013-24-1 8:04:00,2012-24-1 8:00:00,PENDING,386
II1300110,2013-24-1 6:35:00,2013-18-1 5:00:00,ADMIN. CLOSE,442
II1300115,2013-24-1 7:20:00,2013-24-1 7:20:00,PENDING,450
CC1300485,2013-24-1 12:00:00,2013-18-1 12:52:00,REPORTED TO OTHER,323
CC1300530,2013-24-1 12:00:00,2013-19-1 2:22:00,REPORTED TO OTHER,422
CC1300578,2013-24-1 12:00:00,2013-19-1 5:00:00,REPORTED TO OTHER,453
CC1300544,2013-24-1 12:00:00,2013-19-1 12:01:00,REPORTED TO OTHER,326
CC1300541,2013-24-1 12:00:00,2013-18-1 10:30:00,REPORTED TO OTHER,326
252-2013,2013-24-1 9:14:00,2013-23-1 8:45:00,STUDENT DISCIPLINE,313
II1300118,2013-25-1 8:31:00,2013-25-1 8:31:00,ARREST,404
CC1300574,2013-25-1 12:00:00,2012-24-8 10:00:00,REPORTED TO OTHER,312
CC1300648,2013-25-1 12:00:00,2013-19-1 12:30:00,REPORTED TO OTHER,453
CC1300640,2013-25-1 12:00:00,2013-23-1 5:20:00,REPORTED TO OTHER,475
CC1300582,2013-25-1 12:00:00,2013-20-1 4:57:00,REPORTED TO OTHER,453
CC1300532,2013-25-1 12:00:00,2013-19-1 2:39:00,REPORTED TO OTHER,326
CC1300632,2013-25-1 12:00:00,2013-22-1 5:58:00,REPORTED TO OTHER,453
263-2013,2013-25-1 9:58:00,2013-24-1 7:19:00,STUDENT DISCIPLINE,417
273-2013,2013-25-1 9:00:00,2013-16-1 4:00:00,STUDENT DISCIPLINE,443
II1300121,2013-26-1 9:03:00,2013-26-1 9:03:00,ARREST,332
II1300122,2013-26-1 11:22:00,2013-26-1 11:22:00,ADMIN. CLOSE,400
CC1300660,2013-26-1 12:00:00,2012-23-1 4:00:00,REPORTED TO OTHER,453
CC1300629,2013-26-1 12:00:00,2013-21-1 8:00:00,REPORTED TO OTHER,393
CC1300612,2013-26-1 12:00:00,2013-22-1 12:15:00,REPORTED TO OTHER,453
II1300123,2013-27-1 12:25:00,2013-27-1 12:25:00,ARREST,450
II1300125,2013-27-1 4:22:00,2013-27-1 4:21:00,ARREST,386
II1300114,2013-27-1 8:30:00,2013-27-1 8:30:00,PENDING,362
283-2013,2013-28-1 9:53:00,2013-27-1 2:10:00,STUDENT DISCIPLINE,367
II1300134,2013-29-1 11:48:00,2013-22-1 12:00:00,ADMIN. CLOSE,357
II1300138,2013-29-1 4:50:00,2013-29-1 4:50:00,ARREST,332
II1300136,2013-29-1 12:06:00,2013-20-1 5:00:00,ADMIN. CLOSE,442
CC1300571,2013-29-1 12:00:00,2013-20-1 4:30:00,REPORTED TO OTHER,326
II1300140,2013-30-1 11:30:00,2013-30-1 11:30:00,ADMIN. CLOSE,400
II1300143,2013-30-1 4:52:00,2013-30-1 4:52:00,ARREST,332
CC1300756,2013-30-1 12:00:00,2013-25-1 9:30:00,REPORTED TO OTHER,326
CC1300718,2013-30-1 12:00:00,2013-23-1 12:01:00,REPORTED TO OTHER,326
CSA-13-2,2013-30-1 12:37:00,2012-13-12 UNKNOWN,ADMIN. CLOSED,459
II1300149,2013-31-1 11:35:00,2013-31-1 11:35:00,STUDENT DISCIPLINE,386
II1300148,2013-31-1 11:06:00,2013-31-1 11:06:00,STUDENT DISCIPLINE,386
CC1300716,2013-31-1 12:00:00,2013-15-1 12:00:00,REPORTED TO OTHER,453
UU1300451,2013-31-1 12:00:00,2013-29-1 1:10:00,REPORTED TO OTHER,333
249-2013,2013-31-1 10:15:00,2013-23-1 8:45:00,STUDENT DISCIPLINE,313
314-2013,2013-31-1 2:19:00,2013-30-1 6:00:00,STUDENT DISCIPLINE,367
305-2013,2013-31-1 9:41:00,2013-29-1 1:30:00,STUDENT DISCIPLINE,428
CSA-13-3,2013-31-1 5:15:00,2013-27-1 UNKNOWN,ADMIN. CLOSED,459
II1300160,2013-1-2 9:40:00,2013-1-2 9:40:00,ARREST,387
II1300162,2013-2-2 2:13:00,2013-2-2 2:13:00,ARREST,445
II1300163,2013-2-2 1:30:00,2013-1-2 11:00:00,UNFOUNDED,324
II1300168,2013-2-2 10:17:00,2013-2-2 10:17:00,ARREST,433
II1300166,2013-2-2 8:27:00,2013-2-2 8:27:00,ARREST,310
II1300169,2013-2-2 10:48:00,2013-2-2 10:48:00,ADMIN. CLOSE,348
II1300167,2013-2-2 8:49:00,2013-2-2 8:49:00,ADMIN. CLOSE,411
II1300172,2013-3-2 3:20:00,2013-3-2 3:20:00,ARREST,386
II1300173,2013-4-2 2:23:00,2013-4-2 2:23:00,ARREST,445
II1300178,2013-4-2 6:53:00,2013-4-2 6:53:00,ARREST,364
II1300180,2013-4-2 9:29:00,2013-4-2 9:29:00,STUDENT DISCIPLINE,386
CC1300782,2013-4-2 12:00:00,2013-27-1 1:30:00,REPORTED TO OTHER,483
CC1300807,2013-4-2 12:00:00,2013-28-1 1:30:00,REPORTED TO OTHER,422
CC1300760,2013-4-2 12:00:00,2013-26-1 3:35:00,REPORTED TO OTHER,389
CC1300945,2013-4-2 12:00:00,2013-1-2 11:00:00,REPORTED TO OTHER,367
CC1300948,2013-4-2 12:00:00,2013-1-2 9:15:00,REPORTED TO OTHER,479
CC1300944,2013-4-2 12:00:00,2013-1-2 10:40:00,REPORTED TO OTHER,367
CC1300806,2013-4-2 12:00:00,2013-27-1 6:00:00,REPORTED TO OTHER,453
CC1300781,2013-4-2 12:00:00,2013-27-1 1:30:00,REPORTED TO OTHER,326
344-2013,2013-4-2 9:56:00,2013-4-2 2:20:00,STUDENT DISCIPLINE,417
II1300141,2013-5-2 12:45:00,2013-30-1 12:45:00,ADMIN. CLOSE,400
CC1300946,2013-5-2 12:00:00,2013-1-2 11:25:00,REPORTED TO OTHER,367
CC1300947,2013-5-2 12:00:00,2013-1-2 11:40:00,REPORTED TO OTHER,367
CC1300950,2013-5-2 12:00:00,2013-2-2 12:20:00,REPORTED TO OTHER,367
CC1300813,2013-5-2 12:00:00,2013-27-1 3:00:00,REPORTED TO OTHER,326
CC1300920,2013-5-2 12:00:00,2013-1-2 1:17:00,REPORTED TO OTHER,312
CC1300905,2013-5-2 12:00:00,2012-1-12 10:00:00,REPORTED TO OTHER,312
CC1300900,2013-5-2 12:00:00,2013-1-2 1:15:00,REPORTED TO OTHER,326
II1300186,2013-6-2 8:28:00,2013-6-2 8:28:00,ADMIN. CLOSE,400
II1300192,2013-6-2 6:40:00,2013-6-2 6:40:00,ADMIN. CLOSE,427
II1300191,2013-6-2 10:43:00,2013-6-2 10:43:00,ARREST,362
II1300193,2013-6-2 10:58:00,2013-6-2 10:58:00,STUDENT DISCIPLINE,386
CC1300949,2013-6-2 12:00:00,2013-1-2 11:40:00,REPORTED TO OTHER,367
CC1300951,2013-6-2 12:00:00,2013-2-2 1:00:00,REPORTED TO OTHER,367
CC1300958,2013-6-2 12:00:00,2013-2-2 2:45:00,REPORTED TO OTHER,483
CC1300985,2013-6-2 12:00:00,2013-3-2 1:05:00,REPORTED TO OTHER,483
CC1301046,2013-6-2 12:00:00,2013-5-2 2:21:00,REPORTED TO OTHER,453
CC1300999,2013-6-2 12:00:00,2013-1-2 7:00:00,REPORTED TO OTHER,453
CC1300968,2013-6-2 12:00:00,2013-2-2 10:40:00,REPORTED TO OTHER,453
II1300195,2013-7-2 1:26:00,2013-7-2 1:26:00,ARREST,305
II1300194,2013-7-2 12:31:00,2013-7-2 12:31:00,ARREST,409
II1300198,2013-7-2 1:46:00,2013-7-2 1:46:00,ADMIN. CLOSE,341
II1300197,2013-7-2 11:00:00,2013-25-1 12:00:00,ADMIN. CLOSE,442
II1300199,2013-7-2 10:09:00,2013-7-2 10:09:00,STUDENT DISCIPLINE,362
II1300234,2013-7-2 9:27:00,2013-7-2 9:00:00,ARREST,418
II1300203,2013-8-2 8:45:00,2013-7-2 5:00:00,ADMIN. CLOSE,457
II1300205,2013-8-2 12:43:00,2013-1-2 11:05:00,PENDING,317
II1300209,2013-8-2 8:42:00,2013-8-2 8:42:00,ADMIN. CLOSE,348
CC1205368,2013-8-2 12:00:00,2012-29-5 2:50:00,REPORTED TO OTHER,397
CC1301051,2013-8-2 12:00:00,2013-5-2 5:45:00,REPORTED TO OTHER,361
II1300211,2013-9-2 1:57:00,2013-9-2 1:57:00,ARREST,386
II1300210,2013-9-2 1:57:00,2013-9-2 1:57:00,ARREST,387
II1300213,2013-9-2 1:17:00,2013-9-2 1:17:00,ARREST,332
II1300212,2013-9-2 12:31:00,2013-7-2 5:00:00,ARREST,324
CC1301064,2013-9-2 12:00:00,2013-6-2 2:16:00,REPORTED TO OTHER,389
II1300217,2013-10-2 1:49:00,2013-10-2 1:49:00,ARREST,388
II1300218,2013-10-2 2:16:00,2013-10-2 2:15:00,ARREST,363
II1300219,2013-10-2 4:49:00,2013-10-2 4:00:00,UNFOUNDED,442
II1300222,2013-10-2 6:15:00,2013-10-2 6:15:00,ADMIN. CLOSE,346
II1300224,2013-10-2 10:07:00,2013-10-2 10:07:00,ADMIN. CLOSE,348
II1300225,2013-10-2 11:36:00,2013-10-2 11:35:00,PENDING,386
CC1301063,2013-10-2 12:00:00,2013-6-2 1:43:00,REPORTED TO OTHER,367
II1300226,2013-11-2 12:29:00,2013-31-1 12:01:00,PENDING,369
II1300229,2013-11-2 1:19:00,2013-8-2 2:30:00,ADMIN. CLOSE,303
II1300231,2013-11-2 11:15:00,2013-11-2 11:15:00,ADMIN. CLOSE,348
CC1301074,2013-11-2 12:00:00,2013-5-2 10:00:00,REPORTED TO OTHER,326
229-2013,2013-11-2 1:43:00,2013-22-1 7:50:00,STUDENT DISCIPLINE,424
II1300233,2013-12-2 12:29:00,2013-11-2 9:00:00,ADMIN. CLOSE,442
II1300236,2013-12-2 11:58:00,2013-12-2 11:58:00,ARREST,328
II1300237,2013-13-2 2:25:00,2013-13-2 1:40:00,ARREST,303
II1300242,2013-13-2 3:30:00,2013-13-2 2:00:00,UNFOUNDED,442
II1300245,2013-13-2 7:18:00,2013-13-2 12:00:00,PENDING,303
II1300248,2013-13-2 11:59:00,2013-13-2 11:59:00,ARREST,301
II1300243,2013-13-2 4:19:00,2013-7-2 5:00:00,ADMIN. CLOSE,442
II1300239,2013-13-2 11:01:00,2013-12-2 12:01:00,ADMIN. CLOSE,303
CC1301288,2013-13-2 12:00:00,2013-13-2 2:25:00,REPORTED TO OTHER,422
CC1301093,2013-13-2 12:00:00,2013-7-2 1:27:00,REPORTED TO OTHER,340
424-2013,2013-13-2 11:07:00,2013-9-2 1:45:00,STUDENT DISCIPLINE,367
II1300253,2013-14-2 5:10:00,2013-14-2 5:10:00,ARREST,332
II1300255,2013-14-2 11:42:00,2013-14-2 11:42:00,PENDING,371
CC1301136,2013-14-2 12:00:00,2012-8-12 10:30:00,REPORTED TO OTHER,312
CC1301169,2013-14-2 12:00:00,2013-8-2 8:00:00,REPORTED TO OTHER,326
458-2013,2013-14-2 11:28:00,2013-2-2 9:36:00,STUDENT DISCIPLINE,484
CSA-13-6,2013-14-2 4:57:00,2013-10-2 UNKNOWN,ADMIN. CLOSED,459
II1300256,2013-15-2 2:12:00,2013-15-2 2:12:00,ARREST,445
II1300262,2013-15-2 12:01:00,2013-15-2 12:01:00,ADMIN. CLOSE,442
II1300258,2013-15-2 7:33:00,2013-15-2 2:00:00,ADMIN. CLOSE,442
II1300257,2013-15-2 2:30:00,2013-15-2 2:30:00,ARREST,332
II1300270,2013-15-2 11:24:00,2013-15-2 11:24:00,ARREST,332
II1300269,2013-15-2 8:50:00,2013-15-2 8:50:00,ARREST,386
CC1301160,2013-15-2 12:00:00,2013-9-2 2:23:00,REPORTED TO OTHER,376
CC1301170,2013-15-2 12:00:00,2013-8-2 9:00:00,REPORTED TO OTHER,326
CC1301157,2013-15-2 12:00:00,2013-9-2 1:10:00,REPORTED TO OTHER,326
CC1301180,2013-15-2 12:00:00,2013-9-2 5:22:00,REPORTED TO OTHER,453
CC1301214,2013-15-2 12:00:00,2013-9-2 9:00:00,REPORTED TO OTHER,453
CC1301164,2013-15-2 12:00:00,2013-9-2 2:05:00,REPORTED TO OTHER,326
461-2013,2013-15-2 4:20:00,2013-14-2 9:05:00,STUDENT DISCIPLINE,417
II1300271,2013-16-2 12:20:00,2013-16-2 12:20:00,ARREST,332
II1300276,2013-16-2 1:24:00,2013-16-2 1:24:00,ADMIN. CLOSE,303
II1300279,2013-16-2 4:52:00,2013-16-2 4:52:00,STUDENT DISCIPLINE,383
II1300280,2013-16-2 5:42:00,2013-16-2 5:38:00,PENDING,442
CC1301132,2013-16-2 12:00:00,2013-8-2 10:52:00,REPORTED TO OTHER,435
CC1301248,2013-16-2 12:00:00,2013-21-1 3:00:00,REPORTED TO OTHER,465
II1300284,2013-17-2 1:47:00,2013-17-2 1:47:00,CLEARED EXCEPT.,363
II1300286,2013-17-2 2:30:00,2013-17-2 2:30:00,ADMIN. CLOSE,412
II1300285,2013-17-2 1:48:00,2013-17-2 1:48:00,ARREST,445
II1300290,2013-17-2 11:09:00,2013-17-2 11:09:00,ADMIN. CLOSE,303
II1300292,2013-17-2 11:42:00,2013-17-2 11:42:00,ARREST,332
CC1301398,2013-17-2 12:00:00,2013-16-2 2:42:00,REPORTED TO OTHER,313
II1300291,2013-18-2 11:08:00,2013-18-2 11:08:00,ADMIN. CLOSE,348
II1300297,2013-18-2 3:02:00,2013-18-2 3:02:00,ADMIN. CLOSE,457
II1300301,2013-19-2 10:12:00,2013-18-2 5:00:00,ADMIN. CLOSE,457
CC1301456,2013-19-2 12:00:00,2013-18-2 8:00:00,REPORTED TO OTHER,389
CC1301431,2013-19-2 12:00:00,2013-17-2 4:12:00,REPORTED TO OTHER,453
515-2013,2013-19-2 4:53:00,2013-15-2 1:00:00,STUDENT DISCIPLINE,443
II1300311,2013-20-2 4:14:00,2011-25-7 12:01:00,PENDING,339
II1300308,2013-20-2 1:40:00,2013-11-2 6:00:00,ARREST,390
CC1301042,2013-20-2 12:00:00,2013-5-2 9:15:00,REPORTED TO OTHER,326
CC1301112,2013-20-2 12:00:00,2013-7-2 1:00:00,REPORTED TO OTHER,453
CC1301347,2013-20-2 12:00:00,2013-14-2 11:00:00,REPORTED TO OTHER,326
CC1301372,2013-20-2 12:00:00,2013-13-2 11:20:00,REPORTED TO OTHER,367
CC1301414,2013-20-2 12:00:00,2013-16-2 11:25:00,REPORTED TO OTHER,367
CC1301392,2013-20-2 12:00:00,2013-16-2 3:00:00,REPORTED TO OTHER,326
CC1301422,2013-20-2 12:00:00,2012-17-2 2:16:00,REPORTED TO OTHER,326
II1300315,2013-21-2 1:10:00,2013-21-2 1:10:00,ARREST,445
II1300318,2013-21-2 1:43:00,2013-21-2 1:43:00,ADMIN. CLOSE,369
II1300321,2013-21-2 6:39:00,2013-20-2 1:00:00,UNFOUNDED,339
II1300325,2013-22-2 4:55:00,2013-22-2 4:55:00,ARREST,332
II1300326,2013-22-2 4:57:00,2013-22-2 4:57:00,ADMIN. CLOSE,457
CC1301427,2013-22-2 12:00:00,2013-16-2 10:30:00,REPORTED TO OTHER,453
CC1301393,2013-22-2 12:00:00,2013-14-2 9:15:00,REPORTED TO OTHER,453
CC1301381,2013-22-2 12:00:00,2013-16-2 2:17:00,REPORTED TO OTHER,483
II1300331,2013-23-2 3:19:00,2013-23-2 3:19:00,ARREST,404
II1300332,2013-23-2 7:42:00,2013-23-2 7:42:00,ARREST,332
II1300334,2013-24-2 1:40:00,2013-24-2 1:40:00,ARREST,332
II1300338,2013-24-2 10:22:00,2013-22-2 9:00:00,ADMIN. CLOSE,324
CC1301483,2013-24-2 12:00:00,2013-19-2 8:00:00,REPORTED TO OTHER,326
CC1301383,2013-24-2 12:00:00,2013-16-2 1:30:00,REPORTED TO OTHER,326
II1300345,2013-25-2 5:58:00,2013-25-2 5:58:00,ARREST,332
II1300357,2013-25-2 12:26:00,2013-13-2 8:41:00,ARREST,375
CC1301571,2013-25-2 12:00:00,2013-22-2 10:11:00,REPORTED TO OTHER,449
CC1301534,2013-25-2 12:00:00,2013-21-2 2:30:00,REPORTED TO OTHER,326
CC1301515,2013-25-2 12:00:00,2013-20-2 7:55:00,REPORTED TO OTHER,326
UU1300770,2013-25-2 12:00:00,2013-17-2 12:31:00,REPORTED TO OTHER,367
II1300351,2013-26-2 2:48:00,2013-26-2 2:48:00,ARREST,301
II1300354,2013-26-2 11:29:00,2013-26-2 11:29:00,ADMIN. CLOSE,308
II1300355,2013-26-2 4:44:00,2013-26-2 4:44:00,PENDING,347
II1300353,2013-26-2 3:00:00,2013-26-2 3:00:00,ADMIN. CLOSE,442
UU1300767,2013-26-2 12:00:00,2013-16-2 10:34:00,REPORTED TO OTHER,367
II1300361,2013-27-2 2:20:00,2013-27-2 8:25:00,PENDING,403
II1300371,2013-28-2 6:02:00,2013-28-2 6:02:00,ARREST,332
II1300374,2013-28-2 7:12:00,2013-28-2 7:12:00,ARREST,362
II1300376,2013-28-2 10:50:00,2013-28-2 10:50:00,ARREST,332
CC1301654,2013-28-2 12:00:00,2013-24-2 12:20:00,REPORTED TO OTHER,453
CC1301587,2013-28-2 12:00:00,2013-23-2 11:44:00,REPORTED TO OTHER,326
CC1301579,2013-28-2 12:00:00,2013-15-1 12:00:00,REPORTED TO OTHER,453
CC1301550,2013-28-2 12:00:00,2013-21-2 11:54:00,REPORTED TO OTHER,367
CC1301559,2013-28-2 12:00:00,2013-21-2 11:00:00,REPORTED TO OTHER,483
UU1300782,2013-28-2 12:00:00,2013-16-2 11:50:00,REPORTED TO OTHER,483
II1300377,2013-1-3 1:48:00,2013-1-3 1:48:00,ADMIN. CLOSE,400
II1300378,2013-1-3 2:03:00,2013-1-3 2:03:00,ARREST,351
II1300380,2013-1-3 9:53:00,2013-1-3 9:53:00,ARREST,405
II1300381,2013-1-3 10:08:00,2013-1-3 10:08:00,ARREST,405
II1300382,2013-1-3 10:37:00,2013-1-3 10:37:00,ARREST,351
II1300383,2013-1-3 11:21:00,2013-1-3 11:21:00,ARREST,405
II1300384,2013-1-3 11:18:00,2013-1-3 11:18:00,ARREST,331
II1300385,2013-1-3 11:35:00,2013-1-3 11:35:00,ARREST,405
II1300386,2013-1-3 12:04:00,2013-1-3 12:04:00,ARREST,405
II1300388,2013-1-3 1:26:00,2013-1-3 1:26:00,ARREST,331
II1300389,2013-1-3 1:48:00,2013-1-3 1:48:00,ARREST,405
II1300390,2013-1-3 4:00:00,2013-1-3 4:00:00,ARREST,405
II1300392,2013-1-3 3:22:00,2013-1-3 3:22:00,ARREST,331
II1300397,2013-1-3 5:20:00,2013-1-3 5:20:00,ARREST,405
II1300399,2013-1-3 8:39:00,2013-1-3 8:39:00,ARREST,331
II1300400,2013-1-3 8:25:00,2013-1-3 8:25:00,ARREST,360
II1300404,2013-1-3 10:41:00,2013-1-3 10:41:00,ARREST,371
II1300401,2013-1-3 9:18:00,2013-1-3 9:18:00,ARREST,363
II1300407,2013-1-3 11:36:00,2013-1-3 11:36:00,ARREST,386
II1300379,2013-1-3 8:01:00,2013-1-3 8:01:00,ARREST,362
II1300396,2013-1-3 4:50:00,2013-1-3 4:50:00,PENDING,357
CC1301693,2013-1-3 12:00:00,2013-26-2 9:00:00,REPORTED TO OTHER,453
CC1301715,2013-1-3 12:00:00,2013-9-2 1:00:00,REPORTED TO OTHER,326
CC1301807,2013-1-3 12:00:00,2013-1-3 7:50:00,REPORTED TO OTHER,367
CC1301792,2013-1-3 12:00:00,2013-1-3 2:34:00,REPORTED TO OTHER,367
CC1301782,2013-1-3 12:00:00,2013-1-3 11:12:00,REPORTED TO OTHER,367
